Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: American Airlines Inc. (AA)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","05/01/1988","0209","","SLC","12:32","12:36","49","48","4","00:00","0","0","0","0","0","0"
"AA","05/01/1988","1033","","SLC","22:22","22:19","49","45","-3","00:00","0","0","0","0","0","0"
"AA","05/01/1989","1225","","SLC","12:57","12:51","47","42","-6","00:00","0","0","0","0","0","0"
"AA","05/01/1989","1227","","SLC","22:35","22:32","50","46","-3","00:00","0","0","0","0","0","0"
"AA","05/01/1990","1225","","SLC","12:52","12:48","47","45","-4","00:00","0","0","0","0","0","0"
"AA","05/01/1990","1341","","SLC","22:25","22:57","50","59","32","00:00","0","0","0","0","0","0"
"AA","05/01/1992","1267","","SLC","19:12","19:06","51","45","-6","00:00","0","0","0","0","0","0"
"AA","05/01/1993","0301","","SLC","12:45","12:58","45","60","13","00:00","0","0","0","0","0","0"
"AA","05/01/1993","2287","","SLC","22:05","22:07","47","50","2","00:00","0","0","0","0","0","0"
"AA","05/02/1988","0209","","SLC","12:32","12:24","49","41","-8","00:00","0","0","0","0","0","0"
"AA","05/02/1988","1033","","SLC","22:22","22:19","49","46","-3","00:00","0","0","0","0","0","0"
"AA","05/02/1989","1225","","SLC","12:57","12:52","47","41","-5","00:00","0","0","0","0","0","0"
"AA","05/02/1989","1227","","SLC","22:35","22:25","50","44","-10","00:00","0","0","0","0","0","0"
"AA","05/02/1990","1225","","SLC","12:52","12:56","47","49","4","00:00","0","0","0","0","0","0"
"AA","05/02/1990","1341","","SLC","22:25","22:49","50","54","24","00:00","0","0","0","0","0","0"
"AA","05/02/1991","1267","","SLC","19:07","19:15","47","54","8","00:00","0","0","0","0","0","0"
"AA","05/02/1992","1267","","SLC","19:12","19:04","51","43","-8","00:00","0","0","0","0","0","0"
"AA","05/02/1993","0301","","SLC","12:45","12:47","45","48","2","00:00","0","0","0","0","0","0"
"AA","05/02/1993","2287","","SLC","22:05","22:15","47","58","10","00:00","0","0","0","0","0","0"
"AA","05/03/1988","0209","","SLC","12:32","12:29","49","47","-3","00:00","0","0","0","0","0","0"
"AA","05/03/1988","1033","","SLC","22:22","22:27","49","55","5","00:00","0","0","0","0","0","0"
"AA","05/03/1989","1225","","SLC","12:57","12:54","47","46","-3","00:00","0","0","0","0","0","0"
"AA","05/03/1989","1227","","SLC","22:35","22:36","50","49","1","00:00","0","0","0","0","0","0"
"AA","05/03/1990","1225","","SLC","12:52","12:47","47","42","-5","00:00","0","0","0","0","0","0"
"AA","05/03/1990","1341","","SLC","22:25","22:27","50","51","2","00:00","0","0","0","0","0","0"
"AA","05/03/1991","1267","","SLC","19:07","20:57","47","56","110","00:00","0","0","0","0","0","0"
"AA","05/03/1993","0301","","SLC","12:45","12:48","45","48","3","00:00","0","0","0","0","0","0"
"AA","05/03/1993","2287","","SLC","22:05","22:04","47","49","-1","00:00","0","0","0","0","0","0"
"AA","05/04/1988","0209","","SLC","12:32","12:25","49","42","-7","00:00","0","0","0","0","0","0"
"AA","05/04/1988","1033","","SLC","22:22","22:27","49","53","5","00:00","0","0","0","0","0","0"
"AA","05/04/1989","1225","","SLC","12:57","12:52","47","44","-5","00:00","0","0","0","0","0","0"
"AA","05/04/1989","1227","","SLC","22:35","22:39","50","52","4","00:00","0","0","0","0","0","0"
"AA","05/04/1990","1225","","SLC","12:52","12:54","47","48","2","00:00","0","0","0","0","0","0"
"AA","05/04/1990","1341","","SLC","22:25","22:25","50","54","0","00:00","0","0","0","0","0","0"
"AA","05/04/1991","1267","","SLC","19:07","20:16","47","55","69","00:00","0","0","0","0","0","0"
"AA","05/04/1992","1267","","SLC","19:12","19:01","51","40","-11","00:00","0","0","0","0","0","0"
"AA","05/04/1993","0301","","SLC","12:45","12:47","45","45","2","00:00","0","0","0","0","0","0"
"AA","05/04/1993","2287","","SLC","22:05","22:11","47","56","6","00:00","0","0","0","0","0","0"
"AA","05/05/1988","0209","","SLC","12:32","12:30","49","44","-2","00:00","0","0","0","0","0","0"
"AA","05/05/1988","1033","","SLC","22:22","22:27","49","54","5","00:00","0","0","0","0","0","0"
"AA","05/05/1989","1225","","SLC","12:57","12:53","47","46","-4","00:00","0","0","0","0","0","0"
"AA","05/05/1989","1227","","SLC","22:35","22:28","50","45","-7","00:00","0","0","0","0","0","0"
"AA","05/05/1990","1225","","SLC","12:52","12:42","47","39","-10","00:00","0","0","0","0","0","0"
"AA","05/05/1990","1341","","SLC","22:25","22:26","50","53","1","00:00","0","0","0","0","0","0"
"AA","05/05/1991","1267","","SLC","19:07","19:27","47","44","20","00:00","0","0","0","0","0","0"
"AA","05/05/1992","1267","","SLC","19:12","19:02","51","41","-10","00:00","0","0","0","0","0","0"
"AA","05/05/1993","2287","","SLC","22:05","22:29","47","71","24","00:00","0","0","0","0","0","0"
"AA","05/06/1988","0209","","SLC","12:32","12:38","49","50","6","00:00","0","0","0","0","0","0"
"AA","05/06/1988","1033","","SLC","22:22","22:34","49","62","12","00:00","0","0","0","0","0","0"
"AA","05/06/1989","1225","","SLC","12:57","13:16","47","43","19","00:00","0","0","0","0","0","0"
"AA","05/06/1989","1227","","SLC","22:35","22:26","50","42","-9","00:00","0","0","0","0","0","0"
"AA","05/06/1990","1225","","SLC","12:52","12:45","47","44","-7","00:00","0","0","0","0","0","0"
"AA","05/06/1990","1341","","SLC","22:25","22:37","50","63","12","00:00","0","0","0","0","0","0"
"AA","05/06/1991","1267","","SLC","19:07","19:21","47","62","14","00:00","0","0","0","0","0","0"
"AA","05/06/1992","1267","","SLC","19:12","19:11","51","50","-1","00:00","0","0","0","0","0","0"
