Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: United Airlines Inc. (UA)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","05/25/2009","0033","N808UA","DEN","20:31","20:15","96","83","-16","20:12","3","0","0","0","0","0"
"UA","05/26/2009","0033","N816UA","DEN","20:31","20:12","96","79","-19","20:08","4","0","0","0","0","0"
"UA","05/26/2009","0050","N848UA","DEN","12:51","12:38","96","85","-13","12:32","6","0","0","0","0","0"
"UA","05/27/2009","0033","N423UA","DEN","20:31","20:29","96","96","-2","20:25","4","0","0","0","0","0"
"UA","05/27/2009","0050","N851UA","DEN","12:51","12:30","96","82","-21","12:26","4","0","0","0","0","0"
"UA","05/28/2009","0033","N824UA","DEN","20:31","20:17","96","80","-14","20:13","4","0","0","0","0","0"
"UA","05/28/2009","0050","N850UA","DEN","12:51","12:27","96","79","-24","12:23","4","0","0","0","0","0"
"UA","05/29/2009","0033","N449UA","DEN","20:31","21:13","96","74","42","21:10","3","0","0","0","0","42"
"UA","05/29/2009","0050","N841UA","DEN","12:51","12:30","96","80","-21","12:26","4","0","0","0","0","0"
"UA","05/30/2009","0033","N837UA","DEN","19:36","19:59","96","121","23","19:55","4","0","0","23","0","0"
"UA","05/30/2009","0050","N813UA","DEN","12:51","12:37","96","83","-14","12:32","5","0","0","0","0","0"
"UA","05/30/2009","0510","N847UA","DEN","09:56","09:34","96","78","-22","09:30","4","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
