Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: ExpressJet Airlines Inc. (XE)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"XE","05/01/2008","7657","N14171","SLC","20:35","20:21","55","48","-14","20:16","5","0","0","0","0","0"
"XE","05/01/2008","7660","N14171","SLC","10:38","10:54","55","61","16","10:52","2","0","0","6","0","10"
"XE","05/01/2008","7668","N14177","SLC","11:53","12:05","55","69","12","12:03","2","0","0","0","0","0"
"XE","05/01/2008","7684","N11165","SLC","17:35","17:24","55","50","-11","17:21","3","0","0","0","0","0"
"XE","05/01/2008","7687","N11184","SLC","22:25","22:13","55","46","-12","22:10","3","0","0","0","0","0"
"XE","05/02/2008","7657","N17169","SLC","20:35","20:45","55","64","10","20:42","3","0","0","0","0","0"
"XE","05/02/2008","7660","N14177","SLC","10:38","10:41","55","51","3","10:38","3","0","0","0","0","0"
"XE","05/02/2008","7668","N14570","SLC","11:53","11:40","55","44","-13","11:36","4","0","0","0","0","0"
"XE","05/02/2008","7684","N17169","SLC","17:35","17:53","55","44","18","17:49","4","18","0","0","0","0"
"XE","05/02/2008","7687","N14168","SLC","22:25","22:06","55","46","-19","22:03","3","0","0","0","0","0"
"XE","05/03/2008","7684","N10575","SLC","17:35","17:23","55","45","-12","17:18","5","0","0","0","0","0"
"XE","05/03/2008","7709","N17169","SLC","21:25","21:03","55","46","-22","20:59","4","0","0","0","0","0"
"XE","05/04/2008","7657","N11176","SLC","20:35","20:50","55","56","15","20:44","6","14","0","1","0","0"
"XE","05/04/2008","7660","N14171","SLC","10:38","10:38","55","57","0","10:34","4","0","0","0","0","0"
"XE","05/04/2008","7684","N14168","SLC","17:35","17:29","55","50","-6","17:24","5","0","0","0","0","0"
"XE","05/04/2008","7687","N11184","SLC","22:25","22:23","55","58","-2","22:20","3","0","0","0","0","0"
"XE","05/05/2008","7657","N17169","SLC","20:38","20:32","55","53","-6","20:28","4","0","0","0","0","0"
"XE","05/05/2008","7660","N17169","SLC","10:38","10:29","55","50","-9","10:25","4","0","0","0","0","0"
"XE","05/05/2008","7668","N16170","SLC","11:53","11:56","55","51","3","11:54","2","0","0","0","0","0"
"XE","05/05/2008","7684","N14168","SLC","17:35","17:42","55","63","7","17:37","5","0","0","0","0","0"
"XE","05/05/2008","7687","N11176","SLC","22:25","22:05","55","45","-20","22:02","3","0","0","0","0","0"
"XE","05/06/2008","7657","N14180","SLC","20:38","20:20","55","49","-18","20:17","3","0","0","0","0","0"
"XE","05/06/2008","7660","N17169","SLC","10:38","10:30","55","49","-8","10:26","4","0","0","0","0","0"
"XE","05/06/2008","7684","N16170","SLC","17:35","17:29","55","52","-6","17:23","6","0","0","0","0","0"
"XE","05/06/2008","7687","N14168","SLC","22:25","22:13","55","53","-12","22:09","4","0","0","0","0","0"
"XE","05/07/2008","7657","N14180","SLC","20:38","20:30","55","50","-8","20:26","4","0","0","0","0","0"
"XE","05/07/2008","7660","N14180","SLC","10:38","11:12","55","79","34","11:08","4","10","0","24","0","0"
"XE","05/07/2008","7668","N14171","SLC","11:53","12:04","55","57","11","12:01","3","0","0","0","0","0"
"XE","05/07/2008","7674","N14171","SLC","14:44","14:32","55","52","-12","14:28","4","0","0","0","0","0"
"XE","05/07/2008","7684","N16170","SLC","17:35","17:35","55","56","0","17:29","6","0","0","0","0","0"
"XE","05/07/2008","7687","N11176","SLC","22:25","22:29","55","62","4","22:25","4","0","0","0","0","0"
"XE","05/08/2008","7657","N11184","SLC","20:38","20:37","55","53","-1","20:33","4","0","0","0","0","0"
"XE","05/08/2008","7660","N14168","SLC","10:38","10:29","55","54","-9","10:26","3","0","0","0","0","0"
"XE","05/08/2008","7668","N11184","SLC","11:53","11:56","55","61","3","11:53","3","0","0","0","0","0"
"XE","05/08/2008","7684","N17169","SLC","17:35","17:36","55","49","1","17:33","3","0","0","0","0","0"
"XE","05/08/2008","7687","N17169","SLC","22:25","22:29","55","60","4","22:24","5","0","0","0","0","0"
"XE","05/09/2008","7657","N14171","SLC","20:38","20:35","55","57","-3","20:31","4","0","0","0","0","0"
"XE","05/09/2008","7660","N11184","SLC","10:38","10:46","55","57","8","10:41","5","0","0","0","0","0"
"XE","05/09/2008","7668","N14171","SLC","11:53","11:51","55","56","-2","11:47","4","0","0","0","0","0"
"XE","05/09/2008","7684","N14180","SLC","17:35","19:33","55","52","118","19:29","4","0","118","0","0","0"
"XE","05/09/2008","7687","N13908","SLC","22:25","22:20","55","56","-5","22:15","5","0","0","0","0","0"
"XE","05/10/2008","7684","N12167","SLC","17:35","17:21","55","46","-14","17:17","4","0","0","0","0","0"
"XE","05/10/2008","7709","N14171","SLC","21:25","21:10","55","50","-15","21:06","4","0","0","0","0","0"
"XE","05/11/2008","7657","N12167","SLC","20:38","20:33","55","52","-5","20:30","3","0","0","0","0","0"
"XE","05/11/2008","7660","N12167","SLC","10:38","10:28","55","50","-10","10:22","6","0","0","0","0","0"
"XE","05/11/2008","7684","N13908","SLC","17:35","17:29","55","41","-6","17:25","4","0","0","0","0","0"
"XE","05/11/2008","7687","N14180","SLC","22:25","22:38","55","75","13","22:28","10","0","0","0","0","0"
"XE","05/12/2008","7657","N11176","SLC","20:38","20:44","55","51","6","20:40","4","0","0","0","0","0"
"XE","05/12/2008","7660","N11176","SLC","10:38","11:24","55","63","46","11:20","4","38","0","8","0","0"
"XE","05/12/2008","7668","","SLC","11:53","00:00","55","0","0","00:00","0","0","0","0","0","0"
"XE","05/12/2008","7684","N12167","SLC","17:35","17:32","55","51","-3","17:28","4","0","0","0","0","0"
"XE","05/12/2008","7687","N10575","SLC","22:25","22:08","55","47","-17","22:05","3","0","0","0","0","0"
"XE","05/13/2008","7657","N14171","SLC","20:38","20:22","55","44","-16","20:19","3","0","0","0","0","0"
"XE","05/13/2008","7684","N12167","SLC","17:35","17:27","55","45","-8","17:22","5","0","0","0","0","0"
"XE","05/13/2008","7687","N11176","SLC","22:25","22:30","55","65","5","22:26","4","0","0","0","0","0"
"XE","05/14/2008","7657","N14173","SLC","20:38","20:21","55","51","-17","20:18","3","0","0","0","0","0"
"XE","05/14/2008","7660","N14188","SLC","10:38","12:19","55","49","101","12:15","4","54","0","0","0","47"
"XE","05/14/2008","7668","","SLC","11:53","00:00","55","0","0","00:00","0","0","0","0","0","0"
"XE","05/14/2008","7674","N10575","SLC","14:44","15:03","55","46","19","14:59","4","19","0","0","0","0"
"XE","05/14/2008","7684","N14173","SLC","17:35","17:20","55","42","-15","17:17","3","0","0","0","0","0"
"XE","05/14/2008","7687","N14179","SLC","22:25","22:12","55","52","-13","22:09","3","0","0","0","0","0"
"XE","05/15/2008","7657","N14177","SLC","20:38","20:31","55","50","-7","20:28","3","0","0","0","0","0"
"XE","05/15/2008","7660","N14188","SLC","10:38","10:41","55","55","3","10:38","3","0","0","0","0","0"
"XE","05/15/2008","7668","N11176","SLC","11:53","12:07","55","51","14","12:04","3","0","0","0","0","0"
"XE","05/15/2008","7684","N14177","SLC","17:35","17:19","55","42","-16","17:16","3","0","0","0","0","0"
"XE","05/15/2008","7687","N14179","SLC","22:25","23:18","55","54","53","23:15","3","9","0","0","0","44"
"XE","05/16/2008","7657","N11176","SLC","20:38","20:48","55","49","10","20:45","3","0","0","0","0","0"
"XE","05/16/2008","7660","N11176","SLC","10:38","10:49","55","57","11","10:45","4","0","0","0","0","0"
"XE","05/16/2008","7668","N14171","SLC","11:53","11:41","55","46","-12","11:38","3","0","0","0","0","0"
"XE","05/16/2008","7684","N16183","SLC","17:35","17:23","55","45","-12","17:20","3","0","0","0","0","0"
"XE","05/16/2008","7687","N14179","SLC","22:25","22:35","55","42","10","22:32","3","0","0","0","0","0"
"XE","05/17/2008","7684","N14168","SLC","17:35","17:17","55","41","-18","17:14","3","0","0","0","0","0"
"XE","05/17/2008","7709","N14570","SLC","21:25","21:15","55","52","-10","21:13","2","0","0","0","0","0"
"XE","05/18/2008","7657","N14171","SLC","20:38","20:24","55","50","-14","20:20","4","0","0","0","0","0"
"XE","05/18/2008","7660","N14171","SLC","10:38","10:19","55","47","-19","10:15","4","0","0","0","0","0"
"XE","05/18/2008","7684","N14570","SLC","17:35","17:20","55","51","-15","17:16","4","0","0","0","0","0"
"XE","05/18/2008","7687","N14179","SLC","22:25","22:08","55","52","-17","22:04","4","0","0","0","0","0"
"XE","05/19/2008","7657","N22909","SLC","20:38","20:37","55","59","-1","20:34","3","0","0","0","0","0"
"XE","05/19/2008","7660","N11181","SLC","10:38","10:30","55","55","-8","10:25","5","0","0","0","0","0"
"XE","05/19/2008","7668","N11176","SLC","11:53","12:01","55","41","8","11:57","4","0","0","0","0","0"
"XE","05/19/2008","7684","N14570","SLC","17:35","17:19","55","45","-16","17:16","3","0","0","0","0","0"
"XE","05/19/2008","7687","N14180","SLC","22:25","22:18","55","56","-7","22:14","4","0","0","0","0","0"
"XE","05/20/2008","7657","N14171","SLC","20:38","20:45","55","64","7","20:39","6","0","0","0","0","0"
"XE","05/20/2008","7660","N11181","SLC","10:38","10:21","55","44","-17","10:18","3","0","0","0","0","0"
"XE","05/20/2008","7684","N11176","SLC","17:35","17:31","55","47","-4","17:27","4","0","0","0","0","0"
"XE","05/20/2008","7687","N14180","SLC","22:25","22:26","55","64","1","22:22","4","0","0","0","0","0"
"XE","05/21/2008","7657","N14180","SLC","20:38","20:41","55","49","3","20:37","4","0","0","0","0","0"
"XE","05/21/2008","7660","N14171","SLC","10:38","10:36","55","54","-2","10:32","4","0","0","0","0","0"
"XE","05/21/2008","7668","N11181","SLC","11:53","12:17","55","52","24","12:14","3","0","0","0","0","24"
"XE","05/21/2008","7674","N14168","SLC","14:44","16:50","55","45","126","16:47","3","126","0","0","0","0"
"XE","05/21/2008","7684","N11184","SLC","17:35","17:19","55","45","-16","17:16","3","0","0","0","0","0"
"XE","05/21/2008","7687","N14179","SLC","22:25","22:06","55","44","-19","22:03","3","0","0","0","0","0"
"XE","05/22/2008","7657","N14180","SLC","20:38","21:38","55","45","60","21:34","4","0","0","0","0","60"
"XE","05/22/2008","7660","N14180","SLC","10:38","10:57","55","65","19","10:53","4","0","0","10","0","9"
"XE","05/22/2008","7668","N11165","SLC","11:53","11:50","55","49","-3","11:47","3","0","0","0","0","0"
"XE","05/22/2008","7684","N17196","SLC","17:35","17:24","55","45","-11","17:22","2","0","0","0","0","0"
"XE","05/22/2008","7687","N14168","SLC","22:25","22:32","55","55","7","22:28","4","0","0","0","0","0"
"XE","05/23/2008","7657","N11181","SLC","20:38","20:32","55","55","-6","20:29","3","0","0","0","0","0"
"XE","05/23/2008","7660","N14179","SLC","10:38","10:29","55","49","-9","10:26","3","0","0","0","0","0"
