Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Frontier Airlines Inc. (F9)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","06/12/2014","0447","N951FR","DEN","22:44","22:44","84","88","0","22:32","12","0","0","0","0","0"
"F9","06/15/2014","0447","N921FR","DEN","22:44","24:00","84","88","76","23:50","10","3","0","6","0","67"
"F9","06/17/2014","0447","N932FR","DEN","22:44","23:23","84","93","39","23:15","8","16","0","9","0","14"
"F9","06/19/2014","0447","N920FR","DEN","22:44","22:44","84","93","0","22:37","7","0","0","0","0","0"
"F9","06/22/2014","0447","N922FR","DEN","22:44","23:18","84","82","34","23:10","8","0","0","25","0","9"
"F9","06/24/2014","0447","N906FR","DEN","22:44","23:35","84","85","51","23:29","6","0","0","51","0","0"
"F9","06/26/2014","0447","N932FR","DEN","22:44","23:10","84","79","26","23:02","8","0","0","20","0","6"
"F9","06/29/2014","0447","N925FR","DEN","22:44","22:36","84","83","-8","22:30","6","0","0","0","0","0"
"F9","07/01/2014","0447","N921FR","DEN","22:44","22:53","84","82","9","22:48","5","0","0","0","0","0"
"F9","07/03/2014","0447","N925FR","DEN","22:44","22:57","84","88","13","22:50","7","0","0","0","0","0"
"F9","07/06/2014","0447","N929FR","DEN","22:44","22:59","84","84","15","22:51","8","5","0","10","0","0"
"F9","07/08/2014","0447","N919FR","DEN","22:44","22:49","84","84","5","22:42","7","0","0","0","0","0"
"F9","07/10/2014","0447","N918FR","DEN","22:44","22:35","84","81","-9","22:30","5","0","0","0","0","0"
"F9","07/13/2014","0447","N929FR","DEN","22:44","22:42","84","89","-2","22:35","7","0","0","0","0","0"
"F9","07/15/2014","0447","N919FR","DEN","22:44","23:41","84","87","57","23:37","4","18","0","39","0","0"
"F9","07/17/2014","0447","N926FR","DEN","22:44","22:35","84","77","-9","22:31","4","0","0","0","0","0"
"F9","07/20/2014","0447","N953FR","DEN","22:44","22:34","84","80","-10","22:27","7","0","0","0","0","0"
"F9","07/22/2014","0447","N933FR","DEN","22:44","23:03","84","83","19","22:56","7","0","0","0","0","19"
"F9","07/24/2014","0447","N932FR","DEN","22:44","23:05","84","84","21","23:00","5","0","0","21","0","0"
"F9","07/27/2014","0447","N904FR","DEN","22:44","23:32","84","81","48","23:26","6","0","0","48","0","0"
"F9","07/29/2014","0447","N924FR","DEN","22:44","00:13","84","83","89","00:08","5","1","0","21","0","67"
"F9","07/31/2014","0447","N927FR","DEN","22:44","22:40","84","84","-4","22:36","4","0","0","0","0","0"
"F9","08/03/2014","0447","N921FR","DEN","22:44","22:32","84","84","-12","22:25","7","0","0","0","0","0"
"F9","08/05/2014","0447","N919FR","DEN","22:44","22:34","84","77","-10","22:29","5","0","0","0","0","0"
"F9","08/07/2014","0447","N904FR","DEN","22:44","23:01","84","78","17","22:57","4","0","0","0","0","17"
"F9","08/10/2014","0447","N931FR","DEN","22:44","22:37","84","79","-7","22:30","7","0","0","0","0","0"
"F9","08/12/2014","0447","N924FR","DEN","22:44","22:46","84","87","2","22:40","6","0","0","0","0","0"
"F9","08/14/2014","0447","N918FR","DEN","22:44","22:57","84","84","13","22:50","7","0","0","0","0","0"
"F9","08/17/2014","0447","N929FR","DEN","22:44","22:42","84","88","-2","22:34","8","0","0","0","0","0"
"F9","08/19/2014","0447","N947FR","DEN","22:44","22:38","84","80","-6","22:33","5","0","0","0","0","0"
"F9","08/21/2014","0447","N931FR","DEN","22:44","22:57","84","83","13","22:52","5","0","0","0","0","0"
"F9","08/24/2014","0447","N908FR","DEN","22:44","22:39","84","89","-5","22:35","4","0","0","0","0","0"
"F9","08/26/2014","0447","N938FR","DEN","22:44","22:36","84","74","-8","22:31","5","0","0","0","0","0"
"F9","08/28/2014","0447","N920FR","DEN","22:44","22:37","84","80","-7","22:32","5","0","0","0","0","0"
"F9","08/31/2014","0447","N932FR","DEN","22:44","22:49","84","93","5","22:42","7","0","0","0","0","0"
"F9","09/02/2014","0447","N932FR","DEN","22:44","22:37","84","87","-7","22:30","7","0","0","0","0","0"
"F9","09/04/2014","0447","N926FR","DEN","22:44","22:38","84","80","-6","22:34","4","0","0","0","0","0"
"F9","09/06/2014","1529","N933FR","DEN","22:44","22:52","84","92","8","22:46","6","0","0","0","0","0"
"F9","09/07/2014","0447","N924FR","DEN","22:44","22:43","84","87","-1","22:34","9","0","0","0","0","0"
"F9","09/09/2014","0447","N953FR","DEN","22:44","22:36","84","81","-8","22:31","5","0","0","0","0","0"
"F9","09/11/2014","0447","N906FR","DEN","22:44","00:24","84","83","100","00:18","6","0","0","0","0","100"
"F9","09/14/2014","0447","N928FR","DEN","22:44","22:26","84","76","-18","22:22","4","0","0","0","0","0"
"F9","09/16/2014","0447","N927FR","DEN","22:44","22:52","84","84","8","22:45","7","0","0","0","0","0"
"F9","09/18/2014","0447","N952FR","DEN","22:44","22:33","84","79","-11","22:28","5","0","0","0","0","0"
"F9","09/21/2014","0447","N951FR","DEN","22:44","23:09","84","82","25","23:02","7","25","0","0","0","0"
"F9","09/23/2014","0447","N938FR","DEN","22:44","22:33","84","83","-11","22:27","6","0","0","0","0","0"
"F9","09/25/2014","0447","N951FR","DEN","22:44","22:35","84","80","-9","22:28","7","0","0","0","0","0"
"F9","09/26/2014","1528","N206FR","DEN","11:09","11:13","84","83","4","11:06","7","0","0","0","0","0"
"F9","09/28/2014","0447","N932FR","DEN","22:44","22:40","84","73","-4","22:35","5","0","0","0","0","0"
"F9","09/30/2014","0447","N912FR","DEN","22:44","23:02","84","81","18","22:54","8","0","0","0","0","18"
"F9","10/02/2014","0447","N929FR","DEN","22:55","22:52","95","94","-3","22:46","6","0","0","0","0","0"
"F9","10/05/2014","0447","N953FR","DEN","22:55","22:41","95","82","-14","22:35","6","0","0","0","0","0"
"F9","10/07/2014","0447","N926FR","DEN","22:55","22:38","95","85","-17","22:33","5","0","0","0","0","0"
"F9","10/09/2014","0447","N933FR","DEN","22:55","22:49","95","82","-6","22:44","5","0","0","0","0","0"
"F9","10/12/2014","0447","N953FR","DEN","22:55","22:32","95","83","-23","22:27","5","0","0","0","0","0"
"F9","10/14/2014","0447","N947FR","DEN","22:55","22:34","95","80","-21","22:30","4","0","0","0","0","0"
"F9","10/16/2014","0447","N923FR","DEN","22:55","22:47","95","92","-8","22:43","4","0","0","0","0","0"
"F9","10/19/2014","0447","N910FR","DEN","22:55","23:05","95","77","10","22:59","6","0","0","0","0","0"
"F9","10/21/2014","0447","N922FR","DEN","22:55","22:21","95","76","-34","22:16","5","0","0","0","0","0"
"F9","10/23/2014","0447","N918FR","DEN","22:55","22:37","95","84","-18","22:32","5","0","0","0","0","0"
"F9","10/26/2014","0447","N919FR","DEN","22:55","22:42","95","87","-13","22:36","6","0","0","0","0","0"
"F9","10/28/2014","0447","N947FR","DEN","22:55","22:43","95","86","-12","22:36","7","0","0","0","0","0"
"F9","10/30/2014","0447","N922FR","DEN","22:55","22:31","95","83","-24","22:27","4","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
