Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Horizon Air (QX)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","05/01/2022","2018","N438QX","SEA","21:57","22:17","109","116","20","22:11","6","0","0","7","0","13"
"QX","05/01/2023","2018","N626QX","SEA","21:01","21:11","101","108","10","21:07","4","0","0","0","0","0"
"QX","05/02/2022","2018","N443QX","SEA","21:57","23:24","109","146","87","23:12","12","0","50","37","0","0"
"QX","05/02/2023","2018","N650QX","SEA","21:01","21:00","101","105","-1","20:56","4","0","0","0","0","0"
"QX","05/03/2022","2018","N421QX","SEA","21:57","21:53","109","107","-4","21:48","5","0","0","0","0","0"
"QX","05/03/2023","2018","N632QX","SEA","21:01","20:58","101","103","-3","20:53","5","0","0","0","0","0"
"QX","05/04/2022","2018","N422QX","SEA","21:57","21:50","109","105","-7","21:46","4","0","0","0","0","0"
"QX","05/04/2023","2018","N650QX","SEA","21:01","21:07","101","105","6","21:03","4","0","0","0","0","0"
"QX","05/05/2022","2018","N453QX","SEA","21:57","22:00","109","105","3","21:55","5","0","0","0","0","0"
"QX","05/05/2023","2018","N639QX","SEA","21:01","21:03","101","107","2","20:58","5","0","0","0","0","0"
"QX","05/06/2022","2018","N400QX","SEA","21:57","22:58","109","132","61","22:53","5","0","0","23","0","38"
"QX","05/06/2023","2018","N634QX","SEA","21:01","21:02","101","108","1","20:58","4","0","0","0","0","0"
"QX","05/07/2022","2018","N412QX","SEA","21:57","22:01","109","117","4","21:55","6","0","0","0","0","0"
"QX","05/07/2023","2018","N633QX","SEA","21:01","21:22","101","101","21","21:18","4","21","0","0","0","0"
"QX","05/08/2022","2018","N438QX","SEA","21:57","00:36","109","118","159","00:30","6","3","0","9","0","147"
"QX","05/08/2023","2018","N622QX","SEA","21:01","21:03","101","105","2","20:57","6","0","0","0","0","0"
"QX","05/09/2022","2018","N438QX","SEA","21:57","22:01","109","117","4","21:56","5","0","0","0","0","0"
"QX","05/09/2023","2018","N629QX","SEA","21:01","20:56","101","101","-5","20:52","4","0","0","0","0","0"
"QX","05/10/2022","2018","N444QX","SEA","21:57","21:54","109","115","-3","21:48","6","0","0","0","0","0"
"QX","05/10/2023","2018","N624QX","SEA","21:01","20:55","101","98","-6","20:53","2","0","0","0","0","0"
"QX","05/11/2022","2018","N400QX","SEA","21:57","21:57","109","111","0","21:52","5","0","0","0","0","0"
"QX","05/11/2023","2018","N637QX","SEA","21:01","21:20","101","98","19","21:14","6","6","0","0","0","13"
"QX","05/12/2022","2018","N446QX","SEA","21:57","21:55","109","111","-2","21:51","4","0","0","0","0","0"
"QX","05/12/2023","2018","N630QX","SEA","21:01","21:45","101","94","44","21:43","2","44","0","0","0","0"
"QX","05/13/2022","2018","N432QX","SEA","21:57","21:47","109","103","-10","21:42","5","0","0","0","0","0"
"QX","05/13/2023","2018","N623QX","SEA","21:01","20:57","101","100","-4","20:54","3","0","0","0","0","0"
"QX","05/14/2022","2018","N402QX","SEA","21:57","21:45","109","102","-12","21:40","5","0","0","0","0","0"
"QX","05/14/2023","2018","N628QX","SEA","21:01","21:11","101","112","10","21:07","4","0","0","0","0","0"
"QX","05/15/2022","2018","N448QX","SEA","21:57","23:24","109","112","87","23:19","5","0","0","3","0","84"
"QX","05/15/2023","2018","N650QX","SEA","21:01","21:01","101","104","0","20:58","3","0","0","0","0","0"
"QX","05/16/2022","2018","N442QX","SEA","21:57","22:18","109","110","21","22:13","5","0","0","1","0","20"
"QX","05/16/2023","2018","N627QX","SEA","21:01","21:03","101","109","2","20:59","4","0","0","0","0","0"
"QX","05/17/2022","2018","N448QX","SEA","21:57","22:26","109","121","29","22:22","4","0","0","12","0","17"
"QX","05/17/2023","2018","N639QX","SEA","21:01","21:10","101","115","9","21:06","4","0","0","0","0","0"
"QX","05/18/2022","2018","N421QX","SEA","21:57","21:45","109","97","-12","21:41","4","0","0","0","0","0"
"QX","05/18/2023","2018","N642QX","SEA","21:39","21:32","104","94","-7","21:27","5","0","0","0","0","0"
"QX","05/19/2022","2018","N442QX","SEA","22:19","23:07","109","116","48","23:03","4","0","0","7","0","41"
"QX","05/19/2022","2148","N430QX","SEA","14:26","14:42","111","125","16","14:36","6","0","0","16","0","0"
"QX","05/19/2023","2018","N632QX","SEA","21:39","21:35","104","92","-4","21:31","4","0","0","0","0","0"
"QX","05/20/2022","2018","N403QX","SEA","22:19","23:08","109","120","49","23:04","4","38","0","11","0","0"
"QX","05/20/2022","2148","N451QX","SEA","14:26","14:41","111","115","15","14:36","5","11","0","4","0","0"
"QX","05/20/2023","2018","N625QX","SEA","21:39","21:36","104","101","-3","21:31","5","0","0","0","0","0"
"QX","05/21/2022","2018","N453QX","SEA","22:19","22:19","109","117","0","22:16","3","0","0","0","0","0"
"QX","05/21/2022","2148","N421QX","SEA","14:26","14:31","111","121","5","14:24","7","0","0","0","0","0"
"QX","05/21/2023","2018","N636QX","SEA","21:39","21:53","104","109","14","21:50","3","0","0","0","0","0"
"QX","05/22/2022","2018","N451QX","SEA","22:19","22:15","109","109","-4","22:10","5","0","0","0","0","0"
"QX","05/22/2022","2148","N435QX","SEA","14:26","14:32","111","117","6","14:26","6","0","0","0","0","0"
"QX","05/22/2023","2018","N631QX","SEA","21:39","21:20","104","90","-19","21:16","4","0","0","0","0","0"
"QX","05/23/2022","2018","N452QX","SEA","22:19","00:21","109","111","122","00:16","5","0","0","2","0","120"
"QX","05/23/2022","2148","N453QX","SEA","14:26","14:24","111","111","-2","14:20","4","0","0","0","0","0"
"QX","05/23/2023","2018","N631QX","SEA","21:39","00:29","104","111","170","00:27","2","0","163","7","0","0"
"QX","05/24/2022","2018","N436QX","SEA","22:19","22:19","109","107","0","22:13","6","0","0","0","0","0"
"QX","05/24/2022","2148","N402QX","SEA","14:26","14:08","111","97","-18","14:04","4","0","0","0","0","0"
"QX","05/24/2023","2018","N649QX","SEA","21:39","21:30","104","94","-9","21:27","3","0","0","0","0","0"
"QX","05/25/2022","2018","N440QX","SEA","22:19","22:15","109","105","-4","22:09","6","0","0","0","0","0"
"QX","05/25/2022","2148","N401QX","SEA","14:26","14:13","111","103","-13","14:08","5","0","0","0","0","0"
"QX","05/25/2023","2018","N644QX","SEA","21:39","21:46","104","102","7","21:42","4","0","0","0","0","0"
"QX","05/26/2022","2018","N444QX","SEA","22:19","22:44","109","126","25","22:40","4","8","0","17","0","0"
"QX","05/26/2022","2148","N400QX","SEA","14:26","14:24","111","113","-2","14:20","4","0","0","0","0","0"
