Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Mesa Airlines Inc. (YV)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","06/23/2023","6089","N248LR","DEN","13:31","14:28","101","93","57","14:27","1","20","0","0","0","37"
"YV","06/23/2023","6301","N952LR","DEN","17:17","17:20","97","91","3","17:18","2","0","0","0","0","0"
"YV","06/24/2023","6301","N938LR","DEN","17:17","17:12","97","92","-5","17:08","4","0","0","0","0","0"
"YV","06/25/2023","6301","N954LR","DEN","17:17","17:17","97","91","0","17:15","2","0","0","0","0","0"
"YV","06/26/2023","6301","N953LR","DEN","17:17","17:30","97","90","13","17:26","4","0","0","0","0","0"
"YV","06/27/2023","6301","N958LR","DEN","17:17","17:24","97","93","7","17:20","4","0","0","0","0","0"
"YV","06/28/2023","6301","N241LR","DEN","17:17","17:13","97","94","-4","17:05","8","0","0","0","0","0"
"YV","06/29/2023","6301","","DEN","17:17","00:00","97","0","0","00:00","0","0","0","0","0","0"
"YV","06/30/2023","6301","N946LR","DEN","17:17","17:19","97","86","2","17:17","2","0","0","0","0","0"
"YV","07/31/2023","6301","N245LR","DEN","17:17","17:03","97","88","-14","17:00","3","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
