Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Endeavor Air Inc. (9E)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","05/01/2007","2835","80199E","MSP","22:58","22:37","158","141","-21","22:32","5","0","0","0","0","0"
"9E","05/01/2008","2824","85059E","MSP","22:57","23:00","162","168","3","22:56","4","0","0","0","0","0"
"9E","05/02/2007","5611","80199E","MSP","22:58","22:50","158","155","-8","22:46","4","0","0","0","0","0"
"9E","05/02/2008","2824","89689E","MSP","22:58","23:20","163","157","22","23:15","5","22","0","0","0","0"
"9E","05/03/2007","5611","86659E","MSP","22:58","22:44","158","149","-14","22:39","5","0","0","0","0","0"
"9E","05/03/2008","2824","85059E","MSP","22:58","22:30","163","140","-28","22:26","4","0","0","0","0","0"
"9E","05/04/2007","5611","86659E","MSP","22:58","23:21","158","181","23","23:18","3","0","0","23","0","0"
"9E","05/04/2008","2824","80279E","MSP","22:58","22:53","163","160","-5","22:46","7","0","0","0","0","0"
"9E","05/05/2007","5611","87339E","MSP","22:58","23:09","158","171","11","23:03","6","0","0","0","0","0"
"9E","05/05/2008","2824","85609E","MSP","22:58","22:51","163","159","-7","22:45","6","0","0","0","0","0"
"9E","05/06/2007","5611","89079E","MSP","22:58","22:44","158","145","-14","22:40","4","0","0","0","0","0"
"9E","05/06/2008","2824","86659E","MSP","22:58","23:33","163","199","35","23:30","3","0","0","35","0","0"
"9E","05/07/2007","5611","80259E","MSP","22:58","22:48","158","152","-10","22:44","4","0","0","0","0","0"
"9E","05/07/2008","2824","89709E","MSP","22:58","22:54","163","164","-4","22:49","5","0","0","0","0","0"
"9E","05/08/2007","5611","80219E","MSP","22:58","23:13","158","178","15","23:08","5","0","0","15","0","0"
"9E","05/08/2008","2824","80249E","MSP","22:58","22:48","163","157","-10","22:45","3","0","0","0","0","0"
"9E","05/09/2007","5611","85249E","MSP","22:58","22:35","158","137","-23","22:31","4","0","0","0","0","0"
"9E","05/09/2008","2824","80199E","MSP","22:58","23:03","163","172","5","22:57","6","0","0","0","0","0"
"9E","05/10/2007","5611","80259E","MSP","22:58","22:46","158","151","-12","22:40","6","0","0","0","0","0"
"9E","05/10/2008","2824","86729E","MSP","22:58","22:54","163","161","-4","22:48","6","0","0","0","0","0"
"9E","05/11/2007","5611","84959E","MSP","22:58","22:58","158","157","0","22:54","4","0","0","0","0","0"
"9E","05/11/2008","2824","85609E","MSP","22:58","22:44","163","154","-14","22:38","6","0","0","0","0","0"
"9E","05/12/2007","5611","88969E","MSP","22:58","22:47","158","150","-11","22:41","6","0","0","0","0","0"
"9E","05/12/2008","2824","80059E","MSP","22:58","22:57","163","159","-1","22:53","4","0","0","0","0","0"
"9E","05/13/2007","5611","80219E","MSP","22:58","23:19","158","185","21","23:14","5","0","0","21","0","0"
"9E","05/13/2008","2824","80269E","MSP","22:58","22:35","163","144","-23","22:31","4","0","0","0","0","0"
"9E","05/14/2007","5611","87369E","MSP","22:58","23:14","158","175","16","23:08","6","0","0","16","0","0"
"9E","05/14/2008","2824","85059E","MSP","22:58","22:37","163","147","-21","22:33","4","0","0","0","0","0"
"9E","05/15/2007","5611","80219E","MSP","22:58","23:19","158","182","21","23:13","6","0","0","21","0","0"
"9E","05/15/2008","2824","86659E","MSP","22:58","22:29","163","136","-29","22:23","6","0","0","0","0","0"
"9E","05/16/2007","5611","89079E","MSP","22:58","22:56","158","157","-2","22:52","4","0","0","0","0","0"
"9E","05/16/2008","2824","84889E","MSP","22:58","22:31","163","141","-27","22:26","5","0","0","0","0","0"
"9E","05/17/2007","5611","85779E","MSP","22:58","22:51","158","153","-7","22:46","5","0","0","0","0","0"
"9E","05/17/2008","2824","88969E","MSP","22:58","23:03","163","147","5","22:56","7","0","0","0","0","0"
"9E","05/18/2007","5611","84959E","MSP","22:58","22:54","158","155","-4","22:50","4","0","0","0","0","0"
"9E","05/18/2008","2824","85169E","MSP","22:58","22:45","163","155","-13","22:38","7","0","0","0","0","0"
"9E","05/19/2007","5611","80199E","MSP","22:58","22:54","158","152","-4","22:49","5","0","0","0","0","0"
"9E","05/19/2008","2824","85779E","MSP","22:58","22:54","163","163","-4","22:50","4","0","0","0","0","0"
"9E","05/20/2007","5611","89079E","MSP","22:58","23:18","158","175","20","23:10","8","0","0","20","0","0"
"9E","05/20/2008","2824","80259E","MSP","22:58","22:59","163","165","1","22:53","6","0","0","0","0","0"
"9E","05/21/2007","5611","84929E","MSP","22:58","23:33","158","192","35","23:29","4","0","0","35","0","0"
"9E","05/21/2008","2824","86659E","MSP","22:58","22:50","163","158","-8","22:48","2","0","0","0","0","0"
"9E","05/22/2007","5611","86729E","MSP","22:58","23:01","158","161","3","22:56","5","0","0","0","0","0"
"9E","05/22/2008","2824","85159E","MSP","22:58","22:50","163","155","-8","22:45","5","0","0","0","0","0"
"9E","05/23/2007","5611","85059E","MSP","22:58","23:27","158","182","29","23:22","5","0","0","29","0","0"
"9E","05/23/2008","2824","84929E","MSP","22:58","22:57","163","166","-1","22:53","4","0","0","0","0","0"
"9E","05/24/2007","5611","80219E","MSP","22:58","23:32","158","191","34","23:25","7","0","0","34","0","0"
"9E","05/24/2008","2824","84959E","MSP","22:58","23:10","163","180","12","23:04","6","0","0","0","0","0"
"9E","05/25/2007","5611","85059E","MSP","22:58","23:15","158","178","17","23:07","8","0","0","17","0","0"
"9E","05/25/2008","2824","86729E","MSP","22:58","22:48","163","160","-10","22:43","5","0","0","0","0","0"
"9E","05/26/2007","5611","85339E","MSP","22:58","22:52","158","154","-6","22:47","5","0","0","0","0","0"
"9E","05/26/2008","2824","80269E","MSP","22:58","22:55","163","168","-3","22:50","5","0","0","0","0","0"
"9E","05/27/2007","5611","85779E","MSP","22:58","22:51","158","156","-7","22:46","5","0","0","0","0","0"
"9E","05/27/2008","2824","85439E","MSP","22:58","22:54","163","155","-4","22:50","4","0","0","0","0","0"
"9E","05/28/2007","5611","80279E","MSP","22:58","00:05","158","157","67","00:04","1","67","0","0","0","0"
"9E","05/28/2008","2824","85059E","MSP","22:58","23:11","163","177","13","23:06","5","0","0","0","0","0"
"9E","05/29/2007","5611","85549E","MSP","22:58","23:14","158","173","16","23:08","6","0","0","16","0","0"
"9E","05/29/2008","2824","85779E","MSP","22:58","23:26","163","175","28","23:19","7","16","0","12","0","0"
"9E","05/30/2007","5611","80279E","MSP","22:58","22:48","158","142","-10","22:43","5","0","0","0","0","0"
"9E","05/30/2008","2824","85059E","MSP","22:58","22:51","163","156","-7","22:46","5","0","0","0","0","0"
"9E","05/31/2007","5611","80279E","MSP","22:58","22:51","158","154","-7","22:46","5","0","0","0","0","0"
"9E","05/31/2008","2824","80279E","MSP","22:58","23:20","163","167","22","23:12","8","0","0","22","0","0"
"9E","06/01/2007","5611","88949E","MSP","22:58","23:01","158","160","3","22:57","4","0","0","0","0","0"
"9E","06/01/2008","2824","80249E","MSP","22:58","22:54","163","162","-4","22:49","5","0","0","0","0","0"
"9E","06/02/2007","5611","85059E","MSP","22:58","22:43","158","146","-15","22:40","3","0","0","0","0","0"
"9E","06/02/2008","2824","89709E","MSP","22:58","22:59","163","169","1","22:54","5","0","0","0","0","0"
"9E","06/03/2007","5611","89079E","MSP","22:58","22:44","158","144","-14","22:40","4","0","0","0","0","0"
"9E","06/03/2008","2824","88949E","MSP","22:58","22:50","163","157","-8","22:46","4","0","0","0","0","0"
"9E","06/04/2007","5611","89709E","MSP","22:58","22:48","158","149","-10","22:42","6","0","0","0","0","0"
"9E","06/04/2008","2824","85779E","MSP","22:58","22:53","163","163","-5","22:50","3","0","0","0","0","0"
"9E","06/05/2007","5611","80059E","MSP","22:58","22:52","158","157","-6","22:48","4","0","0","0","0","0"
"9E","06/05/2008","2824","85779E","MSP","23:05","23:43","170","192","38","23:37","6","0","0","22","0","16"
"9E","06/06/2007","5611","89089E","MSP","22:58","23:29","158","192","31","23:25","4","0","0","31","0","0"
"9E","06/06/2008","2824","80279E","MSP","23:05","23:04","170","173","-1","23:00","4","0","0","0","0","0"
"9E","06/07/2007","5611","84889E","MSP","22:59","22:54","159","156","-5","22:48","6","0","0","0","0","0"
"9E","06/07/2008","2824","85439E","MSP","23:05","22:59","170","163","-6","22:53","6","0","0","0","0","0"
"9E","06/08/2007","5611","85019E","MSP","22:59","23:13","159","157","14","23:09","4","0","0","0","0","0"
"9E","06/08/2008","2824","85249E","MSP","23:05","23:08","170","165","3","23:02","6","0","0","0","0","0"
"9E","06/09/2007","5611","85549E","MSP","22:59","22:50","159","153","-9","22:45","5","0","0","0","0","0"
"9E","06/09/2008","2824","80199E","MSP","23:05","22:53","170","160","-12","22:48","5","0","0","0","0","0"
"9E","06/10/2007","5611","88949E","MSP","22:59","23:02","159","163","3","22:55","7","0","0","0","0","0"
"9E","06/10/2008","2824","80279E","MSP","23:05","22:54","170","162","-11","22:49","5","0","0","0","0","0"
"9E","06/11/2007","5611","85549E","MSP","22:59","22:57","159","158","-2","22:51","6","0","0","0","0","0"
"9E","06/11/2008","2824","89709E","MSP","23:05","23:52","170","219","47","23:46","6","0","0","47","0","0"
"9E","06/12/2007","5611","80219E","MSP","22:59","23:42","159","205","43","23:36","6","0","0","43","0","0"
"9E","06/12/2008","2824","80239E","MSP","23:05","23:23","170","182","18","23:20","3","6","0","12","0","0"
"9E","06/13/2007","5611","89709E","MSP","22:59","23:04","159","165","5","22:57","7","0","0","0","0","0"
"9E","06/13/2008","2824","80239E","MSP","23:05","23:03","170","168","-2","22:58","5","0","0","0","0","0"
"9E","06/14/2007","5611","85439E","MSP","22:59","22:53","159","156","-6","22:48","5","0","0","0","0","0"
"9E","06/14/2008","2824","80239E","MSP","23:05","22:54","170","161","-11","22:48","6","0","0","0","0","0"
"9E","06/15/2007","5611","80209E","MSP","22:59","23:36","159","196","37","23:32","4","0","0","37","0","0"
"9E","06/15/2008","2824","80249E","MSP","23:05","22:58","170","166","-7","22:51","7","0","0","0","0","0"
"9E","06/16/2007","5611","84889E","MSP","22:59","23:00","159","160","1","22:56","4","0","0","0","0","0"
"9E","06/16/2008","2824","85879E","MSP","23:05","22:57","170","162","-8","22:53","4","0","0","0","0","0"
"9E","06/17/2007","5611","80209E","MSP","22:59","23:37","159","198","38","23:33","4","0","0","38","0","0"
"9E","06/17/2008","2824","80249E","MSP","23:05","22:36","170","146","-29","22:30","6","0","0","0","0","0"
"9E","06/18/2007","5611","88969E","MSP","22:59","23:38","159","175","39","23:34","4","23","0","16","0","0"
"9E","06/18/2008","2824","85249E","MSP","23:05","22:51","170","160","-14","22:47","4","0","0","0","0","0"
"9E","06/19/2007","5611","85259E","MSP","22:59","23:28","159","157","29","23:24","4","0","0","0","0","29"
"9E","06/19/2008","2824","80219E","MSP","23:05","23:32","170","161","27","23:28","4","0","0","0","0","27"
"9E","06/20/2007","5611","86659E","MSP","22:59","23:08","159","170","9","23:03","5","0","0","0","0","0"
"9E","06/20/2008","2824","84959E","MSP","23:05","22:39","170","151","-26","22:34","5","0","0","0","0","0"
"9E","06/21/2007","5611","85779E","MSP","22:59","23:02","159","161","3","22:58","4","0","0","0","0","0"
"9E","06/21/2008","2824","85259E","MSP","23:05","22:44","170","153","-21","22:36","8","0","0","0","0","0"
"9E","06/22/2007","5611","89709E","MSP","22:59","23:06","159","171","7","23:01","5","0","0","0","0","0"
"9E","06/22/2008","2824","80199E","MSP","23:05","22:45","170","152","-20","22:41","4","0","0","0","0","0"
"9E","06/23/2007","5611","80219E","MSP","22:59","23:02","159","166","3","22:55","7","0","0","0","0","0"
"9E","06/23/2008","2824","87339E","MSP","23:05","22:41","170","151","-24","22:36","5","0","0","0","0","0"
"9E","06/24/2007","5611","85779E","MSP","22:59","23:23","159","188","24","23:18","5","0","0","24","0","0"
"9E","06/24/2008","2824","87339E","MSP","23:05","22:55","170","165","-10","22:52","3","0","0","0","0","0"
"9E","06/25/2007","5611","89039E","MSP","22:59","23:03","159","166","4","22:58","5","0","0","0","0","0"
"9E","06/25/2008","2824","89089E","MSP","23:05","23:05","170","175","0","22:59","6","0","0","0","0","0"
"9E","06/26/2007","5611","84889E","MSP","22:59","22:53","159","156","-6","22:48","5","0","0","0","0","0"
"9E","06/26/2008","2824","86659E","MSP","23:05","23:23","170","179","18","23:18","5","9","0","9","0","0"
"9E","06/27/2007","5611","85809E","MSP","22:59","23:06","159","169","7","23:00","6","0","0","0","0","0"
"9E","06/27/2008","2824","80239E","MSP","23:05","22:37","170","147","-28","22:30","7","0","0","0","0","0"
"9E","06/28/2007","5611","84889E","MSP","22:59","22:34","159","138","-25","22:30","4","0","0","0","0","0"
