Detailed Statistics Arrivals  
Destination Airport: Idaho Falls, ID: Idaho Falls Regional (IDA)
Airline: Allegiant Air (G4)
Month(s): May, June, July, August, September, and October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","05/01/2020","0051","","LAS","21:35","00:00","104","0","0","00:00","0","0","0","0","0","0"
"G4","05/01/2022","1404","250NV","AZA","22:06","22:29","116","116","23","22:22","7","20","0","0","0","3"
"G4","05/01/2023","0108","322NV","LAS","10:39","10:13","108","89","-26","10:09","4","0","0","0","0","0"
"G4","05/01/2023","0147","322NV","PDX","15:33","17:55","94","103","142","17:48","7","133","0","9","0","0"
"G4","05/01/2023","1602","259NV","SNA","14:18","14:04","127","117","-14","13:59","5","0","0","0","0","0"
"G4","05/02/2019","0590","255NV","AZA","10:08","10:12","118","117","4","10:05","7","0","0","0","0","0"
"G4","05/02/2021","0536","237NV","AZA","09:47","09:28","117","108","-19","09:23","5","0","0","0","0","0"
"G4","05/02/2022","0144","330NV","LAS","09:11","09:09","101","106","-2","09:00","9","0","0","0","0","0"
"G4","05/02/2022","0152","277NV","PDX","13:59","19:22","95","92","323","19:17","5","14","0","0","0","309"
"G4","05/03/2018","0190","220NV","AZA","21:11","21:40","118","122","29","21:32","8","0","0","4","0","25"
"G4","05/03/2019","0122","336NV","LAS","14:30","14:24","105","105","-6","14:18","6","0","0","0","0","0"
"G4","05/03/2020","0569","251NV","AZA","15:30","15:49","116","112","19","15:45","4","19","0","0","0","0"
"G4","05/03/2021","0044","325NV","LAS","22:04","21:49","103","95","-15","21:45","4","0","0","0","0","0"
"G4","05/04/2018","0518","312NV","LAS","20:09","20:12","104","107","3","20:04","8","0","0","0","0","0"
"G4","05/04/2020","0051","","LAS","22:29","00:00","104","0","0","00:00","0","0","0","0","0","0"
"G4","05/04/2021","0536","254NV","AZA","13:57","13:54","117","114","-3","13:50","4","0","0","0","0","0"
"G4","05/04/2023","2310","207NV","AZA","11:38","11:31","118","116","-7","11:27","4","0","0","0","0","0"
"G4","05/05/2019","0590","261NV","AZA","10:38","12:49","118","109","131","12:43","6","131","0","0","0","0"
"G4","05/05/2022","1410","291NV","AZA","22:06","22:24","116","119","18","22:16","8","9","0","3","0","6"
"G4","05/05/2023","0022","305NV","LAS","10:40","10:30","104","98","-10","10:24","6","0","0","0","0","0"
"G4","05/05/2023","0128","318NV","PDX","15:32","16:30","93","99","1498","16:23","7","1492","0","6","0","0"
"G4","05/05/2023","1602","259NV","SNA","14:17","15:02","127","122","45","14:54","8","7","0","0","0","38"
"G4","05/06/2018","0190","215NV","AZA","21:06","21:06","118","119","0","20:57","9","0","0","0","0","0"
"G4","05/06/2019","0122","305NV","LAS","14:25","14:31","105","115","6","14:25","6","0","0","0","0","0"
"G4","05/06/2021","0688","239NV","AZA","09:54","09:53","114","113","-1","09:47","6","0","0","0","0","0"
"G4","05/06/2022","0152","312NV","PDX","14:34","14:44","95","91","10","14:37","7","0","0","0","0","0"
"G4","05/06/2022","0227","312NV","LAS","09:46","09:52","101","113","6","09:46","6","0","0","0","0","0"
"G4","05/07/2018","0518","332NV","LAS","20:09","20:38","104","103","29","20:31","7","29","0","0","0","0"
"G4","05/07/2020","0569","271NV","AZA","15:30","15:17","116","118","-13","15:10","7","0","0","0","0","0"
"G4","05/07/2021","0044","302NV","LAS","22:12","21:57","103","89","-15","21:53","4","0","0","0","0","0"
"G4","05/07/2023","2310","290NV","AZA","11:38","14:38","118","115","180","14:31","7","180","0","0","0","0"
"G4","05/08/2020","0051","","LAS","22:05","00:00","104","0","0","00:00","0","0","0","0","0","0"
"G4","05/08/2022","1410","255NV","AZA","22:06","22:07","116","108","1","22:00","7","0","0","0","0","0"
"G4","05/08/2023","0022","324NV","LAS","10:40","10:24","104","95","-16","10:18","6","0","0","0","0","0"
"G4","05/08/2023","0128","324NV","PDX","15:32","15:21","93","94","-11","15:12","9","0","0","0","0","0"
"G4","05/08/2023","1602","236NV","SNA","14:17","14:27","127","117","10","14:22","5","0","0","0","0","0"
"G4","05/09/2019","0590","252NV","AZA","10:08","10:00","118","111","-8","09:53","7","0","0","0","0","0"
"G4","05/09/2021","0536","258NV","AZA","09:44","09:39","114","109","-5","09:33","6","0","0","0","0","0"
"G4","05/09/2022","0152","260NV","PDX","13:54","14:28","95","114","34","14:20","8","3","0","19","0","12"
"G4","05/09/2022","0227","260NV","LAS","09:06","09:23","101","120","17","09:16","7","0","0","17","0","0"
"G4","05/10/2018","0190","229NV","AZA","21:11","21:37","118","127","26","21:28","9","5","0","9","0","12"
"G4","05/10/2019","0122","336NV","LAS","14:30","14:19","105","97","-11","14:14","5","0","0","0","0","0"
"G4","05/10/2020","0569","262NV","AZA","15:30","15:31","116","118","1","15:24","7","0","0","0","0","0"
"G4","05/10/2021","0044","323NV","LAS","22:12","21:59","103","89","-13","21:52","7","0","0","0","0","0"
"G4","05/11/2018","0518","319NV","LAS","20:09","20:04","104","99","-5","19:59","5","0","0","0","0","0"
"G4","05/11/2020","0051","","LAS","22:14","00:00","104","0","0","00:00","0","0","0","0","0","0"
"G4","05/11/2021","0536","271NV","AZA","13:54","13:44","114","115","-10","13:39","5","0","0","0","0","0"
"G4","05/11/2023","2310","290NV","AZA","11:38","11:40","118","123","2","11:31","9","0","0","0","0","0"
"G4","05/12/2019","0590","255NV","AZA","10:38","10:25","118","112","-13","10:21","4","0","0","0","0","0"
"G4","05/12/2022","1410","258NV","AZA","22:06","22:22","116","121","16","22:15","7","2","0","5","0","9"
"G4","05/12/2023","0022","333NV","LAS","10:49","10:58","104","122","9","10:51","7","0","0","0","0","0"
"G4","05/12/2023","0128","333NV","PDX","15:41","15:34","93","101","-7","15:27","7","0","0","0","0","0"
"G4","05/12/2023","1602","252NV","SNA","14:17","14:05","127","121","-12","13:58","7","0","0","0","0","0"
"G4","05/13/2018","0190","229NV","AZA","21:06","21:33","118","113","27","21:26","7","0","0","11","0","16"
"G4","05/13/2019","0122","315NV","LAS","14:30","14:17","105","96","-13","14:12","5","0","0","0","0","0"
"G4","05/13/2021","0688","239NV","AZA","09:54","09:44","114","108","-10","09:37","7","0","0","0","0","0"
"G4","05/13/2022","0152","207NV","PDX","14:34","14:43","95","100","9","14:37","6","0","0","0","0","0"
"G4","05/13/2022","0227","207NV","LAS","09:46","09:44","101","103","-2","09:37","7","0","0","0","0","0"
"G4","05/14/2018","0518","337NV","LAS","20:09","19:39","104","89","-30","19:32","7","0","0","0","0","0"
"G4","05/14/2020","0564","277NV","AZA","15:24","15:36","116","130","12","15:29","7","0","0","0","0","0"
"G4","05/14/2021","0044","323NV","LAS","18:07","18:06","103","99","-1","17:59","7","0","0","0","0","0"
"G4","05/14/2023","2310","285NV","AZA","11:38","11:18","118","106","-20","11:10","8","0","0","0","0","0"
"G4","05/15/2020","0070","","LAS","09:13","00:00","103","0","0","00:00","0","0","0","0","0","0"
"G4","05/15/2022","1410","288NV","AZA","22:06","22:35","116","101","29","22:28","7","14","0","0","0","15"
